,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,충남-서천-2021-00224,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271010968.jpg,[개] 믹스견,흰색,2016(년생),7(Kg),보호중,F,N,다리가 짧고 주둥이가 긴 흰색 단모견,20211027,충청남도 서천군 서천읍 서천향교길 9,서천군유기동물보호소,041-950-4390,충청남도 서천군 마산면 한마로 1189-19 
20,충남-부여-2021-00405,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271410353.jpg,[개] 믹스견,검정색,2021(년생),4.5(Kg),보호중,M,N,검정색털에 처진귀,20211027,부여군 대백제로817번길61-27,남부여동물병원,041-837-8275,충청남도 부여군 부여읍 성왕로 190-1  남부여동물병원
21,충남-공주-2021-00475,20211027,20211109,http://www.animal.go.kr/files/shelter/2021/10/202110271010815.png,[개] 믹스견,갈색,2017(년생),6(Kg),보호중,M,N,"동네유실견 추정, 빨간색목줄착용,진드기,사상충감염의심,전신피부질환,결막염",20211027,공주시 산성시장,이기영수의과병원,041-853-7575,충청남도 공주시 감영길 7 (반죽동) 
22,충남-공주-2021-00474,20211027,20211109,http://www.animal.go.kr/files/shelter/2021/10/202110271010429.png,[개] 진도견,갈색,2016(년생),12(Kg),보호중,M,N,"동네유실견 추정, 파란색목줄착용,진드기,사상충감염의심,전신피부질환",20211027,공주시 의당면 덕학리,이기영수의과병원,041-853-7575,충청남도 공주시 감영길 7 (반죽동) 
23,충남-천안-2021-01046,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271110504.jpg,[개] 믹스견,흰색,2018(년생),12(Kg),보호중,F,N,공고.1040~1045 형제 추정. 오드아이이며 피부병 있음. 경계가 심함.,20211027,동남구 충절로 535-15,유실유기동물보호소,010-5913-5119,충청남도 천안시 동남구 충절로 437 (삼룡동) 
24,경기-화성-2021-01508,20211027,20211105,http://www.animal.go.kr/files/shelter/2021/10/202110271310462.jpg,[개] 믹스견,갈색,2021(년생),2(Kg),보호중,F,N,"반석고등학교 후문에서 발견, 1개월추정",20211027,반석고등학교 후문,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27 (남양읍) 
25,경기-화성-2021-01507,20211027,20211105,http://www.animal.go.kr/files/shelter/2021/10/202110271310960.jpg,[개] 믹스견,갈색,2021(년생),2(Kg),보호중,F,N,"1~2개월추정, 갈색검정이 섞임",20211027,남양읍 수작이길 113번길 1-2 남양4통 마을회관 ,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27 (남양읍) 
26,경기-화성-2021-01506,20211027,20211105,http://www.animal.go.kr/files/shelter/2021/10/202110271310367.jpg,[개] 믹스견,짙은갈색,2021(년생),2(Kg),보호중,F,N,"1~2개월추정, 갈색검정이 섞임",20211027,남양읍 수작이길 113번길 1-2 남양4통 마을회관 ,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27 (남양읍) 
27,경기-화성-2021-01505,20211027,20211105,http://www.animal.go.kr/files/shelter/2021/10/202110271310576.jpg,[개] 믹스견,갈색,2017(년생),16(Kg),보호중,M,U,"성격이 소심하고 얌전하다, 이마에 살짝보이는 검정줄이 특징",20211027,봉담읍 상기리 403-1,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27 (남양읍) 
28,경기-화성-2021-01504,20211027,20211105,http://www.animal.go.kr/files/shelter/2021/10/202110271310930.jpg,[개] 믹스견,옅은갈색,2019(년생),34(Kg),보호중,M,U,"파란색목줄착용 (연두색줄은 현장에서 묶어논 줄이다), 힘이세고 활발하다 ",20211027,남양로 609-14 ,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27 (남양읍) 
29,경기-양평-2021-00384,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/20211027131091[1].jpg,[개] 믹스견,진갈색,2021(년생),5(Kg),보호중,M,N,순하고 경계없음,20211027,대심길13,양평군유기동물보호소,031-770-2337,경기도 양평군 양평읍 농업기술센터길 59 (양평읍) 
30,경기-용인-2021-00829,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271410859.jpg,[기타축종] 토끼,갈색,2020(년생),2.7(Kg),보호중,F,U,야물야물 입과 씰룩씰룩 코가 귀여움,20211027,수지구 상현동 1186-1,용인시 동물보호센터,031-324-3463,"경기도 용인시 처인구 중부대로 1074-1 (삼가동, 용인시 동물보호센터) "
31,경기-하남-2021-00521,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/20211027131093.jpg,[개] 믹스견,흰연노랑,2020(년생),15(Kg),보호중,F,N,감일지구 유기견,20211027,감일동419,하남동물병원,031-793-7802,경기도 하남시 신평로 37 (덕풍동) 하남동물병원
32,울산-남구-2021-00711,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271010516.jpg,[고양이] 한국 고양이,삼색,2021(년생),0.10(Kg),보호중,M,N,"태어난지2~3일정도,인공포유",20211027,장생포 고래로 29번길,강남동물병원,052-271-0075,울산광역시 남구 돋질로 232 (달동) 1층
33,울산-남구-2021-00710,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271010318.jpg,[고양이] 한국 고양이,삼색,2021(년생),0.20(Kg),보호중,M,N,인공포유.,20211027,세이브존 롯데리아,강남동물병원,052-271-0075,울산광역시 남구 돋질로 232 (달동) 1층
34,광주-광산-2021-00721,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/20211027141084.jpg,[고양이] 한국 고양이,"검,흰",2021(년생),0.2(Kg),보호중,M,N,21-8289 저체온증,20211027,광산구 장덕동,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주공역시 동물보호소
35,광주-광산-2021-00720,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271010916[1].jpg,[개] 믹스견,흰,2019(년생),15(Kg),보호중,F,U,21-1265 리아,20211027,광산구 운남동,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주공역시 동물보호소
36,광주-북구-2021-00873,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271410916.jpg,[고양이] 한국 고양이,"검,노,흰",2021(년생),2.3(Kg),보호중,F,N,21-6125 혼수상태,20211027,북구 우산동,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소
37,광주-북구-2021-00872,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271010812.jpg,[개] 믹스견,흰,2020(년생),13(Kg),보호중,M,N,21-1266 해모,20211027,북구 북동,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소
38,대구-달성-2021-00786,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271010379.jpg,[개] 프렌치 불독,검,2015(년생),14(Kg),보호중,F,U,겁많음 순함,20211027,달성군 가창리 옥븐리 부근,동인동물병원,053-424-4258,대구광역시 중구 동인동4가 국채보상로 724 (동인동4가) 가창면 관할
39,대구-수성-2021-00715,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271410481.jpg,[고양이] 한국 고양이,고등어태비,2021(년생),0.05(Kg),보호중,Q,N,-,20211027,동대구로14길,제니스동물병원,053-756-8293,대구광역시 수성구 달구벌대로 2475 (범어동) 
40,대구-수성-2021-00714,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271410723.jpg,[고양이] 한국 고양이,치즈태비,2021(년생),0.1(Kg),보호중,M,N,기력없음,20211027,달구벌대로2487,제니스동물병원,053-756-8293,대구광역시 수성구 달구벌대로 2475 (범어동) 
41,대구-수성-2021-00713,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271210778.jpg,[개] 골든 리트리버,갈색,2021(년생),30(Kg),종료(반환),M,N,-,20211027,녹원맨션 씨유 편의점앞,제니스동물병원,053-756-8293,대구광역시 수성구 달구벌대로 2475 (범어동) 
42,대구-수성-2021-00712,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271110890[1].jpg,[고양이] 한국 고양이,고등어,2021(년생),0.6(Kg),보호중,Q,N,기력없음,20211027,빌라옆,펫동물병원,053-474-9820,대구광역시 수성구 달구벌대로 3144 (노변동) 펫동물병원
43,대구-수성-2021-00711,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271110541.jpg,[고양이] 한국 고양이,고등어,2021(년생),0.7(Kg),보호중,Q,N,2달 추정 귀여움,20211027,빌라옆,펫동물병원,053-474-9820,대구광역시 수성구 달구벌대로 3144 (노변동) 펫동물병원
44,대구-수성-2021-00710,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271010772.jpg,[고양이] 한국 고양이,젖소,2021(년생),0.68(Kg),보호중,M,N,귀여움,20211027,수성로 150,금강동물병원,053-746-7111,대구광역시 수성구 동원로 150 (만촌동) 금강동물병원
45,대구-수성-2021-00709,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271010424.jpg,[고양이] 한국 고양이,젖소,2021(년생),0.56(Kg),보호중,M,N,순하고 애교스러움,20211027,수성구 만촌동 415-4,금강동물병원,053-746-7111,대구광역시 수성구 동원로 150 (만촌동) 금강동물병원
46,부산-연제-2021-00315,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/20211027131083.jpg,[개] 시츄,갈색/흰색,2019(년생),4.0(Kg),보호중,F,N,온순,20211027,연제로 8번길 83,청조동물병원,051-503-0688,부산광역시 연제구 온천천남로 4 (연산동) 
47,서울-은평-2021-00236,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271210394.jpg,[개] 믹스견,검/갈,2021(년생),10(Kg),보호중,M,N,양귀반접힘. 코검정. 송곳니 나는중. 사람좋아함. 꼬리단미안됨. 털상태양호.,20211027,은평구청 인근,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-48  
48,서울-은평-2021-00235,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/20211027121012.jpg,[개] 비숑 프리제,흰,2019(년생),4(Kg),보호중,F,U,눈물자국/입가변색.미용흔적.털곳곳풀씨.만지는거안좋아함.이빨드러냄.얌전함.,20211027,갈현로29길 27 선일여고 인근,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-48  
49,제주-제주-2021-04336,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270910698.jpg,[고양이] 한국 고양이,회/검,2021(년생),0.1(Kg),보호중,F,N,개체관리번호 21752 - 이유식후분양/3주,20211026,제주시 조천읍 조천리1864-1 사랑요양병원,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
50,제주-제주-2021-04335,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270910748.jpg,[개] 믹스견,검/갈,2020(년생),17.5(Kg),종료(반환),M,N,"개체관리번호 3827 - 파,빨목줄(반환)",20211026,제주시 조천읍 한라산국립공원(어린목),제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
51,제주-제주-2021-04334,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270910246.jpg,[개] 믹스견,흰색,2021(년생),2(Kg),보호중,F,N,개체관리번호 3826 - 1개월,20211026,서귀포시 남원읍 태위로 604-3,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
52,제주-제주-2021-04333,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270910331.jpg,[개] 믹스견,갈색,2021(년생),0.8(Kg),보호중,F,N,개체관리번호 3825 - 1개월,20211026,제주시 한림읍 대림리416,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
53,제주-제주-2021-04332,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270910353.jpg,[개] 요크셔 테리어,갈색,2011(년생),2.2(Kg),보호중,F,N,개체관리번호 3824 ,20211026,제주시 아라일동 한사랑동물병원,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
54,제주-제주-2021-04331,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270910666.jpg,[개] 믹스견,흰색,2021(년생),21(Kg),보호중,F,N,개체관리번호 3823 - 11개월,20211026,제주시 조천읍 선교로115-1,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
55,제주-제주-2021-04330,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270910960.jpg,[개] 믹스견,검정,2020(년생),17(Kg),보호중,M,N,개체관리번호 3822 - 빨간목줄,20211026,제주시 한경면 고산로6,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
56,제주-제주-2021-04329,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/20211027091085.jpg,[개] 믹스견,흰색,2021(년생),7.4(Kg),보호중,F,N,개체관리번호 3821 - 5개월/경계심,20211026,제주시 조천읍 남조로2322,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
57,제주-제주-2021-04328,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270910300.jpg,[개] 믹스견,흰색,2021(년생),8.8(Kg),보호중,F,N,개체관리번호 3820 - 5개월/경계심,20211026,제주시 조천읍 남조로2322,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
58,제주-제주-2021-04327,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270910547.jpg,[개] 믹스견,암,2019(년생),18(Kg),보호중,F,N,개체관리번호 3819 - 빨간목줄,20211026,서귀포시 하원동 영실탐방로,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
59,제주-제주-2021-04326,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270910958.jpg,[개] 믹스견,암,2021(년생),1.6(Kg),보호중,F,N,개체관리번호 3818 - 1개월,20211026,서귀포시 남원읍 태위로604-3,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
60,제주-제주-2021-04325,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270910491.jpg,[개] 믹스견,갈색,2021(년생),1.9(Kg),보호중,M,N,개체관리번호 3817 - 1개월,20211026,서귀포시 남원읍 태위로604-3,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
61,제주-제주-2021-04324,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270910386.jpg,[개] 믹스견,갈색,2021(년생),8(Kg),보호중,M,N,개체관리번호 3816 -10개월,20211026,서귀포시 대정읍 일과대수로 27번길35	,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
62,제주-제주-2021-04323,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/20211027091087.jpg,[개] 믹스견,검/갈,2021(년생),1.1(Kg),보호중,F,N,개체관리번호 3815 - 1개월,20211026,서귀포시 중문동 레이크힐스,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) 
63,경남-창녕-2021-00791,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270110499.jpg,[고양이] 한국 고양이,흰색+노랑,2021(년생),0.2(Kg),보호중,F,N,어미가 보살피지 않음,20211026,장마면 하이곡,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28
64,경남-창녕-2021-00790,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270110429.jpg,[개] 믹스견,흰색+노랑,2021(년생),0.5(Kg),보호중,M,N,동네 떠돌이 개 강아지,20211026,길곡면 북마,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28
65,경남-창녕-2021-00789,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270110102.jpg,[개] 믹스견,흰색+노랑,2021(년생),0.5(Kg),보호중,M,N,동네 떠돌이 개 강아지,20211026,길곡면 북마,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28
66,경남-창녕-2021-00788,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270110569.jpg,[개] 믹스견,흰색+노랑,2021(년생),0.5(Kg),보호중,F,N,동네 떠돌이 개 강아지,20211026,길곡면 북마,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28
67,경남-창녕-2021-00787,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/20211027011056.jpg,[개] 믹스견,흰색+노랑,2021(년생),0.5(Kg),보호중,F,N,동네 떠돌이 개 강아지,20211026,길곡면 북마,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28
68,경남-창녕-2021-00786,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270110254.jpg,[개] 믹스견,흰색+노랑,2016(년생),7(Kg),보호중,F,N,동네 떠돌이 개 ,20211026,길곡면 북마,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28
69,경남-김해-2021-01293,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271110493.jpg,[개] 믹스견,흰색,2019(년생),13(Kg),보호중,M,U,1-1064,20211026,진영읍 진영리 1497-2,누리동물병원,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동) 
70,경남-김해-2021-01292,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271110999.jpg,[고양이] 믹스묘,검정,2021(년생),0.1(Kg),보호중,M,U,"2-252, 5일추정, 영양상태불량, 기력저하",20211026,대동면 초정리 77-32,누리동물병원,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동) 
71,경북-경주-2021-00946,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110261710789.jpg,[개] 믹스견,황색,2021(년생),5.2(Kg),보호중,M,N,생후4개월,20211026,서면 아화2길 농장 인근 ,경주시유기동물보호소,010-3841-6303,경상북도 경주시 용담로 12 (황성동) 
72,경북-경주-2021-00945,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110261710562.jpg,[개] 믹스견,검흰색,2021(년생),4.3(Kg),보호중,M,N,생후4개월,20211026,서면 아화2길 농장 인근 ,경주시유기동물보호소,010-3841-6303,경상북도 경주시 용담로 12 (황성동) 
73,경북-경주-2021-00944,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110261710142.jpg,[개] 믹스견,검흰색,2021(년생),5.0(Kg),보호중,F,N,생후4개월,20211026,서면 아화2길 농장 인근 ,경주시유기동물보호소,010-3841-6303,경상북도 경주시 용담로 12 (황성동) 
74,경북-경주-2021-00943,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110261710574.jpg,[개] 믹스견,황색흰색,2021(년생),6.5(Kg),보호중,F,N,생후10개월,20211026,서면 아화2길 농장 인근,경주시유기동물보호소,010-3841-6303,경상북도 경주시 용담로 12 (황성동) 
75,경북-경주-2021-00938,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110261110530.jpg,[개] 믹스견,갈색흰색,2020(년생),5.0(Kg),보호중,M,N, ,20211026,외동읍 입실리 산48-1,경주시유기동물보호소,010-3841-6303,경상북도 경주시 용담로 12 (황성동) 
76,경북-경주-2021-00937,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110260910510.jpg,[개] 푸들,갈색,2014(년생),3.2(Kg),보호중,M,N, ,20211026,내남면 노곡2길 48-5,경주시유기동물보호소,010-3841-6303,경상북도 경주시 용담로 12 (황성동) 
77,전남-영암-2021-00409,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110260910906.png,[개] 믹스견,연갈색과 검정,2021(년생),1(Kg),보호중,F,N,"사람을 매우 좋아하며,발랄함.",20211026,삼호휴게소 주변,유기동물 삼호 보호소,010-9599-5400,전라남도 영암군 삼호읍 녹색로 1117-49 (삼호읍) 영암유기동물 삼호보호소
78,전남-여수-2021-00628,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271310539.jpg,[개] 치와와,흰색,2017(년생),1.7(Kg),종료(반환),F,N,장모치와와. 온순함. 등록번호 확인됨.,20211026,웅천남8로 23,유기동물보호소,061-659-4429,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소"
